Hip angle from the stand-up ramp through the hold, per cycle.
t is seconds relative to hold_t0 (when the runner's demo poll returned).
Commanded stance hip = +20.87 deg. nan = implausible read, dropped.

=== cycle 1 ===
  t_rel L0      L1      L2      L3      L4      L5     
  13.29 21.45   21.53   20.92   21.09   20.92   20.83  
  13.77 21.45   nan     21.01   21.09   20.92   20.83  
  13.93 21.45   21.53   21.01   21.09   20.92   20.83  
  14.29 21.45   21.53   20.92   21.09   20.92   20.83  
  14.81 21.45   21.53   20.92   21.09   20.92   20.83  
  15.37 21.45   nan     21.01   21.09   20.92   20.83  
  15.83 21.45   21.53   20.92   21.09   20.92   20.83  
  16.34 21.45   21.53   21.01   21.09   20.92   20.83  
  16.78 21.45   21.53   20.92   21.09   20.92   20.83  
  16.85 21.45   21.53   20.92   21.09   nan     20.83  
